season,week,network,window,map_slot,selected_image_url,selected_local_path,page_source,map_revision,sha256,width,height,legend_source,legend_status,legend_color_count,expected_color_count,unresolved_colors,legend_colors,dma_rows,ok_rows,review_rows,notes
2023,12,CBS,EARLY,CBS_EARLY,https://506sports.com/2023/12-CBS-E-V2.png,map_archive\2023\week_12\2023_w12_CBS_EARLY_live_01.png,live,2,5280fcdbf07fc4291d423927a7a1894732299f871d83bf7f3c9604fbc932af80,1280,720,https://506sports.com/nfl.php?yr=2023&wk=12,resolved,3,3,,"{""blue"": ""Jacksonville @ Houston"", ""green"": ""Tampa Bay @ Indianapolis"", ""red"": ""Pittsburgh @ Cincinnati""}",206,206,0,
2023,12,CBS,LATE,CBS_LATE,https://506sports.com/2023/12-CBS-L.png,map_archive\2023\week_12\2023_w12_CBS_LATE_live_02.png,live,0,73053a1b1b7390afcebcd4374d5c5f2efdab70e50926686ac6ac68bd616ccafa,1280,720,https://506sports.com/nfl.php?yr=2023&wk=12,resolved,3,2,,"{""blue"": ""Kansas City @ Las Vegas"", ""grey"": ""NO GAME"", ""red"": ""Buffalo @ Philadelphia""}",206,205,2,
2023,12,FOX,SINGLE,FOX_SINGLE,https://506sports.com/2023/12-FOX-V2.png,map_archive\2023\week_12\2023_w12_FOX_SINGLE_live_03.png,live,2,2def9578da3a9b7e7c0d2b06679c8ca036d3d05a0ea9543957e98b5c12601ebd,1280,720,https://506sports.com/nfl.php?yr=2023&wk=12,resolved,5,5,,"{""blue"": ""Cleveland @ Denver (LATE)"", ""green"": ""New England @ NY Giants"", ""orange"": ""Carolina @ Tennessee"", ""red"": ""New Orleans @ Atlanta"", ""yellow"": ""LA Rams @ Arizona (LATE)""}",206,206,2,
2023,13,CBS,SINGLE,CBS_SINGLE,https://506sports.com/2023/13-CBS.png,map_archive\2023\week_13\2023_w13_CBS_SINGLE_live_01.png,live,0,987627491a346f64718bc518f9cd9e25aabfcb476346ae042d3b0ee8569c1b16,1280,720,https://506sports.com/nfl.php?yr=2023&wk=13,resolved,5,5,,"{""blue"": ""Arizona @ Pittsburgh"", ""green"": ""Indianapolis @ Tennessee"", ""orange"": ""Carolina @ Tampa Bay (LATE)"", ""red"": ""Denver @ Houston"", ""yellow"": ""LA Chargers @ New England""}",206,206,0,
2023,13,FOX,EARLY,FOX_EARLY,https://506sports.com/2023/13-FOX-E.png,map_archive\2023\week_13\2023_w13_FOX_EARLY_live_02.png,live,0,d512d839a4b3fa3ef1e11744aeb5cfc0c80eeedbfb43321cbf35e361f8259a22,1280,720,https://506sports.com/nfl.php?yr=2023&wk=13,resolved,3,3,,"{""blue"": ""Miami @ Washington"", ""green"": ""Atlanta @ NY Jets"", ""red"": ""Detroit @ New Orleans""}",206,206,0,
2023,13,FOX,LATE,FOX_LATE,https://506sports.com/2023/13-FOX-L.png,map_archive\2023\week_13\2023_w13_FOX_LATE_live_03.png,live,0,18c7c330e466e6a2f9f5dda6efa0b94639c29448604ca1c1dd456508520939e4,1280,720,https://506sports.com/nfl.php?yr=2023&wk=13,resolved,3,3,,"{""blue"": ""Cleveland @ LA Rams"", ""grey"": ""NO GAME"", ""red"": ""San Francisco @ Philadelphia""}",206,205,1,
2023,14,CBS,EARLY,CBS_EARLY,https://506sports.com/2023/14-CBS-E-V3.png,map_archive\2023\week_14\2023_w14_CBS_EARLY_live_01.png,live,3,ff4fca5968f7d9064183e04855eb214c76922009020013a63805697069eb383d,1280,720,https://506sports.com/nfl.php?yr=2023&wk=14,resolved,4,4,,"{""blue"": ""Houston @ NY Jets"", ""green"": ""Tampa Bay @ Atlanta"", ""red"": ""Jacksonville @ Cleveland"", ""yellow"": ""Indianapolis @ Cincinnati""}",206,206,1,
2023,14,CBS,LATE,CBS_LATE,https://506sports.com/2023/14-CBS-L-V2.png,map_archive\2023\week_14\2023_w14_CBS_LATE_live_02.png,live,2,af0074e1aa02db7ece713691006d06744b45e8cfe96fdd443057d63c44069678,1280,720,https://506sports.com/nfl.php?yr=2023&wk=14,resolved,2,2,,"{""blue"": ""Denver @ LA Chargers"", ""red"": ""Buffalo @ Kansas City""}",206,206,0,
2023,14,FOX,SINGLE,FOX_SINGLE,https://506sports.com/2023/14-FOX.png,map_archive\2023\week_14\2023_w14_FOX_SINGLE_live_03.png,live,0,034d2814df762423a8ef41c19330b9902b6965ea5eb3b8ca741aba44decdfab1,1280,720,https://506sports.com/nfl.php?yr=2023&wk=14,resolved,5,5,,"{""blue"": ""LA Rams @ Baltimore"", ""green"": ""Detroit @ Chicago"", ""orange"": ""Minnesota @ Las Vegas (LATE)"", ""red"": ""Seattle @ San Francisco (LATE)"", ""yellow"": ""Carolina @ New Orleans""}",206,206,0,
2023,15,CBS,SINGLE,CBS_SINGLE,https://506sports.com/2023/15-CBS-V2.png,map_archive\2023\week_15\2023_w15_CBS_SINGLE_live_01.png,live,2,588fd60ac8fb9bb8f9c54181c2e9b1fc355dc8c4ac6267a51a9c2f2b09cb978f,1280,720,https://506sports.com/nfl.php?yr=2023&wk=15,resolved,5,5,,"{""blue"": ""San Francisco @ Arizona (LATE)"", ""green"": ""Tampa Bay @ Green Bay"", ""orange"": ""Washington @ LA Rams (LATE)"", ""red"": ""NY Jets @ Miami"", ""yellow"": ""Houston @ Tennessee""}",206,206,1,
2023,15,FOX,EARLY,FOX_EARLY,https://506sports.com/2023/15-FOX-E-V3.png,map_archive\2023\week_15\2023_w15_FOX_EARLY_live_02.png,live,3,dcb1cfaa7ce767617d7b5b5c9ebe8e19546c14fcda6600df509f8b5521b1da64,1280,720,https://506sports.com/nfl.php?yr=2023&wk=15,resolved,4,4,,"{""blue"": ""NY Giants @ New Orleans"", ""green"": ""Chicago @ Cleveland"", ""red"": ""Kansas City @ New England"", ""yellow"": ""Atlanta @ Carolina""}",206,206,0,
2023,16,CBS,SINGLE,CBS_SINGLE,https://506sports.com/2023/16-CBS.png,map_archive\2023\week_16\2023_w16_CBS_SINGLE_live_01.png,live,0,73d4083b0559e6111cf93768e1b5a681a6bbdabfe8021d66651e1b781d33fbdf,1280,720,https://506sports.com/nfl.php?yr=2023&wk=16,resolved,4,4,,"{""blue"": ""Jacksonville @ Tampa Bay (LATE)"", ""green"": ""Seattle @ Tennessee"", ""red"": ""Cleveland @ Houston"", ""yellow"": ""Washington @ NY Jets""}",206,206,1,
2023,16,FOX,EARLY,FOX_EARLY,https://506sports.com/2023/16-FOX-E-V2.png,map_archive\2023\week_16\2023_w16_FOX_EARLY_live_02.png,live,2,2fb80e5100ba2fccb08b5942027ce74e33bdf1cef3b10b1338b8809ddffd2152,1280,720,https://506sports.com/nfl.php?yr=2023&wk=16,resolved,4,4,,"{""blue"": ""Indianapolis @ Atlanta"", ""green"": ""Green Bay @ Carolina"", ""grey"": ""NO GAME"", ""red"": ""Detroit @ Minnesota""}",206,205,1,
2023,16,FOX,LATE,FOX_LATE,https://506sports.com/2023/16-FOX-L.png,map_archive\2023\week_16\2023_w16_FOX_LATE_live_03.png,live,0,873184ef478f64f4981e377b513e666b9fac6d5de5d5c4ffe81c5ef1bbba49cf,1280,720,https://506sports.com/nfl.php?yr=2023&wk=16,resolved,2,2,,"{""blue"": ""Arizona @ Chicago"", ""red"": ""Dallas @ Miami""}",206,206,1,
2023,17,CBS,EARLY,CBS_EARLY,https://506sports.com/2023/17-CBS-E-V4.png,map_archive\2023\week_17\2023_w17_CBS_EARLY_live_01.png,live,4,e387150464227f601e5026a180d16ea1df1e4f3d8df8b9095f246790c93c9796,1280,720,https://506sports.com/nfl.php?yr=2023&wk=17,resolved,6,6,,"{""blue"": ""New England @ Buffalo"", ""green"": ""Las Vegas @ Indianapolis"", ""grey"": ""NO GAME"", ""orange"": ""Atlanta @ Chicago"", ""red"": ""Miami @ Baltimore"", ""yellow"": ""Carolina @ Jacksonville""}",206,204,2,
2023,17,CBS,LATE,CBS_LATE,https://506sports.com/2023/17-CBS-L-V3.png,map_archive\2023\week_17\2023_w17_CBS_LATE_live_02.png,live,3,4dd2cd8bdef7d60fb15050d630b1879262db4122dc85ea6922b931678eb9ba52,1280,720,https://506sports.com/nfl.php?yr=2023&wk=17,resolved,2,2,,"{""blue"": ""LA Chargers @ Denver"", ""red"": ""Cincinnati @ Kansas City""}",206,206,0,
2023,17,FOX,SINGLE,FOX_SINGLE,https://506sports.com/2023/17-FOX-V6.png,map_archive\2023\week_17\2023_w17_FOX_SINGLE_live_03.png,live,6,ae32887edc76cd192b1c86fce0b3a0e086a8e8363e2c7f6a3c5581ffd7f96752,1280,720,https://506sports.com/nfl.php?yr=2023&wk=17,resolved,6,6,,"{""blue"": ""Arizona @ Philadelphia"", ""green"": ""LA Rams @ NY Giants"", ""light_blue"": ""Tennessee @ Houston"", ""orange"": ""New Orleans @ Tampa Bay"", ""red"": ""Pittsburgh @ Seattle (LATE)"", ""yellow"": ""San Francisco @ Washington""}",206,206,0,
2023,18,CBS,EARLY,CBS_EARLY,https://506sports.com/2023/18-CBS-E-V6.png,map_archive\2023\week_18\2023_w18_CBS_EARLY_live_01.png,live,6,61966942bdac191bad8269abde9a34fb3a62cbcee9c2ea80d110270155469f1f,1280,720,https://506sports.com/nfl.php?yr=2023&wk=18,resolved,3,3,,"{""blue"": ""Atlanta @ New Orleans"", ""green"": ""Cleveland @ Cincinnati"", ""red"": ""Jacksonville @ Tennessee""}",206,205,1,
2023,18,CBS,LATE,CBS_LATE,https://506sports.com/2023/18-CBS-L-V6.png,map_archive\2023\week_18\2023_w18_CBS_LATE_live_02.png,live,6,51549ba1bf074ca92029ed66a262fc367ed5bb0161aa47031cc0fc5f18ebfd5a,1280,720,https://506sports.com/nfl.php?yr=2023&wk=18,resolved,3,3,,"{""blue"": ""Philadelphia @ NY Giants"", ""green"": ""Kansas City @ LA Chargers"", ""red"": ""Chicago @ Green Bay""}",206,206,0,
2023,18,FOX,EARLY,FOX_EARLY,https://506sports.com/2023/18-FOX-E-V2.png,map_archive\2023\week_18\2023_w18_FOX_EARLY_live_03.png,live,2,196c0fb87de53ae952313e49b4289e9702f2ca567b2a8ed8c43c0adf327a1e00,1280,720,https://506sports.com/nfl.php?yr=2023&wk=18,resolved,3,3,,"{""blue"": ""Tampa Bay @ Carolina"", ""green"": ""NY Jets @ New England"", ""red"": ""Minnesota @ Detroit""}",206,206,0,
2023,18,FOX,LATE,FOX_LATE,https://506sports.com/2023/18-FOX-L-V3.png,map_archive\2023\week_18\2023_w18_FOX_LATE_live_04.png,live,3,ec1abf5aeefeb2b7576e85f50d614f5548c0abb24473c56c3fb151671c2b0eee,1280,720,https://506sports.com/nfl.php?yr=2023&wk=18,resolved,4,4,,"{""blue"": ""LA Rams @ San Francisco"", ""green"": ""Seattle @ Arizona"", ""red"": ""Dallas @ Washington"", ""yellow"": ""Denver @ Las Vegas""}",206,206,1,
